Loop: 1, Timestamp: 1747908429826969500
Loop: 2, Timestamp: 1747908430126093400
Loop: 3, Timestamp: 1747908430426575100
Loop: 4, Timestamp: 1747908430726319300
Loop: 5, Timestamp: 1747908431026264500
Loop: 6, Timestamp: 1747908431326194900
Loop: 7, Timestamp: 1747908431626762000
Loop: 8, Timestamp: 1747908431926141300
Loop: 9, Timestamp: 1747908432226382900
Loop: 10, Timestamp: 1747908432526093900
Loop: 11, Timestamp: 1747908432826632700
Loop: 12, Timestamp: 1747908433126495800
Loop: 13, Timestamp: 1747908433426099400
Loop: 14, Timestamp: 1747908433726367300
Loop: 15, Timestamp: 1747908434026317000
Loop: 16, Timestamp: 1747908434326086500
Loop: 17, Timestamp: 1747908434626250400
Loop: 18, Timestamp: 1747908434926632400
Loop: 19, Timestamp: 1747908435226669600
Loop: 20, Timestamp: 1747908435526283000
Loop: 21, Timestamp: 1747908435826600400
Loop: 22, Timestamp: 1747908436126113200
Loop: 23, Timestamp: 1747908436426088100
Loop: 24, Timestamp: 1747908436726471900
Loop: 25, Timestamp: 1747908437026097100
Loop: 26, Timestamp: 1747908437326354300
Loop: 27, Timestamp: 1747908437626244600
Loop: 28, Timestamp: 1747908437927088700
Loop: 29, Timestamp: 1747908438226597500
Loop: 30, Timestamp: 1747908438526648000
Loop: 31, Timestamp: 1747908438826533100
Loop: 32, Timestamp: 1747908439126112500
Loop: 33, Timestamp: 1747908439426095900
Loop: 34, Timestamp: 1747908439726130500
Loop: 35, Timestamp: 1747908440026559000
Loop: 36, Timestamp: 1747908440326375800
Loop: 37, Timestamp: 1747908440626617400
Loop: 38, Timestamp: 1747908440926350000
Loop: 39, Timestamp: 1747908441226160800
Loop: 40, Timestamp: 1747908441526308000
Loop: 41, Timestamp: 1747908441826135500
Loop: 42, Timestamp: 1747908442126570800
Loop: 43, Timestamp: 1747908442426555200
Loop: 44, Timestamp: 1747908442726347300
Loop: 45, Timestamp: 1747908443026141600
Loop: 46, Timestamp: 1747908443326210800
Loop: 47, Timestamp: 1747908443633223700
Loop: 48, Timestamp: 1747908443926462500
Loop: 49, Timestamp: 1747908444226201100
Loop: 50, Timestamp: 1747908444526303400
Loop: 51, Timestamp: 1747908444826585900
Loop: 52, Timestamp: 1747908445126243400
Loop: 53, Timestamp: 1747908445426206900
Loop: 54, Timestamp: 1747908445726117800
Loop: 55, Timestamp: 1747908446026395000
Loop: 56, Timestamp: 1747908446326849300
Loop: 57, Timestamp: 1747908446636885700
Loop: 58, Timestamp: 1747908446926192100
Loop: 59, Timestamp: 1747908447226687000
Loop: 60, Timestamp: 1747908447526488200
Loop: 61, Timestamp: 1747908447827003000
Loop: 62, Timestamp: 1747908448126644300
Loop: 63, Timestamp: 1747908448426323300
Loop: 64, Timestamp: 1747908448726122000
Loop: 65, Timestamp: 1747908449026175100
Loop: 66, Timestamp: 1747908449326294900
Loop: 67, Timestamp: 1747908449626338900
Loop: 68, Timestamp: 1747908449926579800
Loop: 69, Timestamp: 1747908450226135600
Loop: 70, Timestamp: 1747908450526212300
Loop: 71, Timestamp: 1747908450826541100
Loop: 72, Timestamp: 1747908451127730000
Loop: 73, Timestamp: 1747908451426540500
Loop: 74, Timestamp: 1747908451726392100
Loop: 75, Timestamp: 1747908452026846000
Loop: 76, Timestamp: 1747908452326157100
